Item Number,tmp,Title,list price1,list price2
610691,3566419230,JOB119230 US KNEE 8-15 BRZ MD,7.79,7.79
610709,3566419231,JOB119231 US KNEE 8-15 BRZ LG,7.79,7.79
610717,3566419233,JOB119233 US KNEE 8-15 BLK MD,7.79,7.79
610725,3566419234,JOB119234 US KNEE 8-15 BLK L,7.79,7.79
610733,3566419329,JOB119329 US KNEE 8-15 BGE MD,7.79,7.79
610741,3566419330,JOB119330 US KNEE 8-15 BGE LG,7.79,7.79
610774,3566410301,JOB110301 MEN KNEE 8-15 BK SM,10.68,10.68
610782,3566410302,JOB110302 MEN KNEE 8-15 BK MD,10.68,10.68
610790,3566410303,JOB110303 MEN KNEE 8-15 BK LG,10.68,10.68
610808,3566410304,JOB110304 MEN KNEE 8-15 BK XL,10.68,10.68
610816,3566410336,JOB110336 MEN KNEE 8-15 NVY SM,10.68,10.68
610824,3566410337,JOB110337 MEN KNEE 8-15 NVY MD,10.68,10.68
610857,3566410339,JOB110339 MEN KNEE 8-15 NVY XL,10.68,10.68
610907,3566410781,JOB110781 MN KN DRS 8-15 BK MD,10.19,10.19
610915,3566410782,JOB110782 MN KN DRS 8-15 BK LG,10.19,10.19
610923,3566410783,JOB110783 MN KN DRS 8-15 BK XL,10.19,10.19
610931,356641078,JOB110785 MN KN DRS 8-15 NVY M,10.19,10.19
610972,356641079,JOB110790 MN KN DRS 8-15 BRN L,10.19,10.19
610980,356641079,JOB110791 MN KN DRS 8-15 BRNXL,10.19,10.19
611004,3566410450,JOB110450 ATH KNEE 8-15 WHT MD,10.19,10.19
611012,3566410451,JOB110451 ATH KNEE 8-15 WHT LG,10.19,10.19
611038,3566415001,JOB115001 MEN KNEE 15-20 BK MD,25.03,25.03
611046,3566415002,JOB115002 MEN KNEE 15-20 BK LG,25.03,25.03
611053,3566415003,JOB115003 MEN KNEE 15-20 BK XL,25.03,25.03
611111,356641500,JOB115009 MEN KNEE 15-20 WT MD,25.03,25.03
611129,356641501,JOB115010 MEN KNEE 15-20 WT LG,25.03,25.03
611335,356642146,JOB121466 US KN 30-40 BG MD,43.05,43.05
611434,3566422247,JOB122247 US THGH 20-30 BGE MD,60.81,60.81
611442,3566422248,JOB122248 US THGH 20-30 BGE LG,60.81,60.81
611459,3566422249,JOB122249 US THGH 20-30 BGE XL,60.81,60.81
611517,356642225,JOB122252 US THGH 20-30 BK LG,60.81,60.81
611558,356441201,JOB112013 ADHESIVE IT STAYS,7.37,7.37
611566,356641200,JOB112001 JOLASTIC WASH 12OZ,5.97,5.97
611616,356640130,COVERLET DIGIT SM 01306 JOB,6.94,6.94
611624,356642153,JOB121535 US MAT 20-30 BG S,82.22,82.22
611731,3566419229,JOB119229 US KNEE 8-15 BRZ SM,7.79,7.79
611939,356641033,JOB110332 MEN KNEE 8-15 WHT MD,10.68,10.68
612101,356641033,JOB110334 MEN KNEE 8-15 WHT XL,10.68,10.68
612119,356641033,JOB110331 MEN KNEE 8-15 WHT SM,10.68,10.68
612135,356641091,DONNER STOCKING 110913 BSN,17.03,17.03
612382,3566410449,JOB110449 ATH KNEE 8-15 WHT SM,10.19,10.19
623892,30005441202,CALCIUM-CARB 500MG TAB ROX,6.04,6.04
625566,30005431176,CALCIUM-CARB SUSP 500ML ROX,11.88,11.88
710061,1802909404,CHEMO PREP MATS 11X17  CT03001,27.49,27.49
710178,1802909404,CHEMO PREP MATS 16X22  CT03021,55.23,55.23
710947,1802909402,CHEMO GLVS APLUS PF MD CT01921,34.55,34.55
710954,1802909402,CHEMO GLVS APLUS PF LG CT01931,34.54,34.54
711093,74727050421,CHEMOBLOC BAGS    CT0575,90.23,90.23
712422,61802980024,TOOTHETTE SOD BICARB  SAG6076,3.7,3.7
712463,560,TOOTHETTE SWB DENTFRCEC   5603,1.25,1.25
722553,30047200667,MINOXIDIL SOL 60ML MEN AC 6673,7.14,7.14
722561,30047200667,MINOXIDIL SOL 2X60ML AC 006675,13.96,13.96
730283,638241756,DELSYM ADULT 3OZ ORN,8.48,8.48
770016,31108600220,REZAMID ACNE LOT 2OZ,25.33,25.33
770024,31108600060,CUTEMOL .2% EMLNT CRM 2OZ,12.04,12.04
770032,31108600050,CUTAR LCD 7.5% EMLSN 6OZ,20.83,20.83
770040,31108600260,DERMANAIL COND 1OZ,31.19,31.19
770065,31108600210,TRIPLE PST MEDIC OINT  2OZ,7.71,7.71
770073,31108600280,LIQUIMAT MD 5% LOT 1.5OZ,21.03,21.03
790022,721400314,AQUAPHOR COMPOUNDNG OINT 14OZ,12.35,12.35
790220,721404077,NIVEA BDY CRM 2OZ,2.73,2.73
790659,721400002,EUCERIN CRM 16OZ ORG,10.88,10.88
790972,721400002,EUCERIN CRM 4OZ ORG,5.65,5.65
791483,721404523,AQUAPHOR HEALING OINT 1.75OZ,4.71,4.71
792028,721408572,BASIS SOAP 1OZ T/S,0.39,0.39
792333,721400386,EUCERIN CRM 2OZ ORG,3.73,3.73
792739,721408570,BASIS SOAP 4OZ SENSITIVE SKIN,1.8,1.8
792747,721408572,BASIS SOAP 4OZ VITAMIN,1.8,1.8
792762,721408574,BASIS FACE WASH CLNR 6OZ,3.56,3.56
841247,3834110449,COLGATE M/W PHOS-FLUR 16Z MNT,9.1,9.1
860031,4056512249,IODOSORB WNDGEL 40G TB 2125040,75,75
860072,6401500,PROSHIELD FOAM  SPR 8OZ,7.57,7.57
860080,5048404409,PROSHIELD PLUS SKIN PR CRM 4OZ,8.43,8.43
910547,4108020,ORAL TBRUSH INDIC 40SFT,1.83,1.83
910687,4108261,ORAL B TBRUSH BRACES 35SFT,2.3,2.3
910950,30004108100,ORAL B TBRUSH DENTURE 2/HEAD,2.27,2.27
911248,4108257,ORAL B FLOSS SUP MNT,2.56,2.56
911255,4108014,ORAL B TBRUSH INDIC 40MD,1.83,1.83
911339,4108511,ORAL B TBRUSH ADV 40SFT,2.87,2.87
911354,4108511,ORAL B TBRUSH ADV PLS 40MD,2.87,2.87
980383,30016801269,SWIM EAR 1OZ         FO 012691,3.06,3.06
980391,30016800354,UD AD OINTMENT 5GM  FO 003545,38.33,38.33
980466,30016800120,UD TRIP ANTI OI 1/32OZ FO 1209,31.11,31.11
980474,30016801110,UD BACITRACIN 1/32OZ FO 011109,32,32
980532,30016800143,HYDROCRT CRM 0.5% 30GM FO 1431,3.2,3.2
980599,30016800123,TRIP ANTI OINT .5OZ  FO 001235,4.27,4.27
980615,30016800113,BACITRACN-ZN OINT  30GM FOU,4.91,4.91
980623,30016800463,DIBUCAINE 1% OINT 1OZ FOU,7.77,7.77
980839,30016800213,BACITRACN-POLY OINT 30GM FOU,10,10
980870,30016800213,BACITRACN-POLY OINT 15GM FOU,6.67,6.67
980946,30016800532,PETROLATUM USP  1OZ  FO 005321,7.46,7.46
980979,30016800350,AD OINTMENT  2OZ FOU,3.25,3.25
980987,30016800623,ZINC OXIDE OINT 1OZ  FO 006231,3.1,3.1
981209,30016800123,TRIP ANTI OINT 1OZ   FO 001231,6.53,6.53
981217,30016800620,ZINC OXIDE OINT 2OZ  FO 006202,4.82,4.82
981241,30016800350,AD OINTMENT  4OZ FO,5.98,5.98
981308,30016801543,HYDROCRT CRM 1% 30GM OTC    FO,4.44,4.44
981340,30016801813,HYDROCRT OINT 1% 30GM OTC   FO,4.44,4.44
981357,30016800113,BACITRACN-ZN OINT  15GM FOU,3.33,3.33
981407,30016800163,HYDROCRT OINT .5% 30GM FO 1631,3.67,3.67
981472,30016800110,BACITRACN-ZN OINT 120GM FOU,13.33,13.33
981480,30016800111,BACITRACN-ZN OINT 454GM FOU,50,50
981605,30016800531,PETROLATUM USP 1LB   FO 005316,28.12,28.12
981670,30016800351,AD OINTMENT 16OZ FOU,22.22,22.22
981688,30016800621,ZINC OXIDE OINT 1LB  FO 006216,44.44,44.44
981704,16801540,UD HYDROCRT CRM 1.5GM FO 15408,15.87,15.87
990655,30047201793,TRIP ANTI OINT .5OZ  AC 017934,3.79,3.79
990663,30047201795,TRIP ANTI OINT 1OZ   AC 017956,5.37,5.37
990978,30047203455,HYDROCRT OINT 1% 30GM AC 34556,1.47,1.47
990994,30047203435,HYDROCRT CRM 1% 30GM OTC AC356,1.47,1.47
991018,30047203395,HYDROCRT CRM 1% 30GM W/ALOE AC,1.47,1.47
991034,30047202204,CLOTRIMAZL 1% VAG CRM 7DAY ACT,4.11,4.11
991059,30047217360,MICONAZOLE 7 VAG SUPP OTC   AC,9.33,9.33
991133,30047207354,MICONAZOLE CR 2% 45GM AC 73542,3.94,3.94
991190,30047207306,MICONAZOLE 7 CRM 45GM AC 73063,8.15,8.15
991265,30047207355,MICONAZOLE CR 2% 30GM AC 73556,5.93,5.93
1010222,80110441,LEG BAG 32OZ KIT   BARD 4A4174,3.81,3.81
1010743,4203710367,GOODYS HDACHE PWD X/S,1.47,1.47
1010750,420371036,GOODYS HDACHE PWD X/S,3.23,3.23
1010768,420371036,GOODYS HDACHE PWD X/S,5.37,5.37
1011055,802141508,BRN FDC 2000 FLUID DISPEN CONN,100.53,100.53
1011287,411671603,FLEXALL CRM 2OZ PLUS,4.33,4.33
1011352,6358000001,LICEGUARD ELECTRIC LICE COMB,20.9,20.9
1011501,7295925521,DIUREX WATER CAP,4.35,4.35
1011725,6590877,PEPTAMEN 1.5 VAN 250ML  18190,207.11,207.11
1012509,22343871,OPSITE DRESS 4X4.75   66024629,20.68,20.68
1012608,3600067330,HUGGIES DIAPER PREEMIE,10.29,10.29
1013184,5048421200,IV PREP ANTISPTC WIPE 59421200,11.65,11.65
1013317,2450046207,BUMP FIGHTER DISPOSABLE,2.86,2.86
1013663,7631890084,GAIT BELT W/BUC 0530 72,8.27,8.27
1014000,838000834,HOL 8342 CPL CLS PCH 13/4 71/2,22.88,22.88
1014018,838000873,HOL 8736 CPL FT BARR 21/4 11/4,40.46,40.46
1014067,838000873,HOL 8735 CPL FT BARR 21/4 11/8,40.46,40.46
1014356,78765103267,AZO TEST STRP,8.99,8.99
1014364,30829032010,BD PEN NEEDLE 31GX8MM SHORT,35.73,35.73
1014398,4056512049,REPLICARE HYDRO DRS 4X4 483100,31.87,31.87
1014778,35199102031,UD FERREX CAP 150 OTC BR 20311,13.91,13.91
1016542,469850160,ZINC LZNG ORN QUAN,5.2,5.2
1016559,439850160,ZINC LZNG LEMON QUAN,5.2,5.2
1016591,469850170,LYSINE PLUS CLDSTICK,4.35,4.35
1016914,3006709493,DESENEX PWD 3OZ,5.21,5.21
1016922,3006709491,DESENEX PWD 1.5OZ,3.97,3.97
1017094,3813700448,BANDAID ADVNC HLNG BLSTR,3.9,3.9
1017458,32953681705,ROSE MILK LOT 8OZ,9.16,9.16
1017797,6334720222,CLEARBLUE EZ FRTLTY TST STICKS,41,41
1017938,34601701104,GERITOL COMPLETE LIQ 4OZ,2.76,2.76
1018084,165000801,ONE A DAY MEN MULTIVIT TAB,7.26,7.26
1018100,366522010,SOYCARE MENOPAUSE CAP,9.04,9.04
1018753,4106063,ORAL B TBRUSH CROSSACT 40 SFT,3.37,3.37
1018779,4106063,ORAL B TBRUSH CROSSACT 40 MD,3.37,3.37
1018803,37513759550,COMPOUND W PLANTAR WART,6.77,6.77
1018811,37513785700,DERMOPLAST SPR 2.75OZ A/BACT,5.51,5.51
1018829,37513700497,PERCOGESIC X/S CAP,5.04,5.04
1019298,3101190522,RENU REWETTING DROPS .27OZ,4.1,4.1
1019306,3373200010,MACKS KIDS EAR PLUGS 6PR,2.32,2.32
1020213,35891408004,SCANDISHAKE VAN SING-SRV ENV,6.65,6.65
1020247,35891408104,SCANDISHAKE LF VAN SING-SRV,6.65,6.65
1020957,30033800040,WATER STER IRR 1000ML   2F7114,52.68,52.68
1021013,730102475,TAMPAX REG,5.54,5.54
1021021,730100007,TAMPAX SUP,5.54,5.54
1021039,730100007,TAMPAX SUP PLUS,5.54,5.54
1021047,730100111,TAMPAX MULTIPAX,5.6,5.6
1021369,7684551037,CON 401575 NAT SKN BAR 1 3/4,41.44,41.44
1021377,7684551037,CON 401576 NAT SKN BAR 2 1/4,41.44,41.44
1021385,7684551037,CON 401577 NAT SKN BAR 2 3/4,41.44,41.44
1021468,7684551018,CON 125271 NAT SKN BAR TN 1,43.71,43.71
1021476,7684551018,CON 125272 NAT SKN BAR TN1 1/8,43.71,43.71
1021484,7684551018,CON 125270 NAT SKN BAR TN 7/8,43.71,43.71
1021500,7684551039,CON 401906 NAT SKN BAR 4,29.35,29.35
1021518,4203710292,GOODYS HDACHE PWD X/S,0.65,0.65
1021906,7684551037,CON 401573 NAT SKN BAR 1 1/4,41.44,41.44
1021914,7684551037,CON 401574 NAT SKN BAR 1 1/2,41.44,41.44
1021930,226000855,SIMPLY SALINE W/WASH 210ML,5.26,5.26
1021997,7684551041,CON 401932 NAT DRN 12 OP 1 1/4,22.98,22.98
1022003,7684551042,CON 401933 NAT DRN 12 OP 1 1/2,22.98,22.98
1022011,7684551042,CON 401934 NAT DRN 12 OP 1 3/4,22.98,22.98
1022029,7684551042,CON 401935 NAT DRN 12 OP 2 1/4,22.98,22.98
1022037,7684551042,CON 401936 NAT DRN 12 OP 2 3/4,22.98,22.98
1022078,7684551018,CON 125273 NAT SKN BAR TN1 1/4,43.71,43.71
1022086,7684551018,CON 125274 NAT SKN BAR TN1 3/8,43.71,43.71
1022094,7684551018,CON 125275 NAT SKN BAR TN1 1/2,43.65,43.65
1022110,7684551019,CON 125277 NAT SKN BAR TN1 3/4,43.65,43.65
1022227,7684551040,CON 401912 VF IRRIG SLV 1 3/4,22.18,22.18
1022243,7684551034,CON 401530 NAT PCH MINI OP11/2,25.02,25.02
1022250,7684551034,CON 401531 NAT PCH MINI OP13/4,25.02,25.02
1022276,7684551035,CON 401533 NAT URO PCH TR 11/4,29.46,29.46
1022284,7684551035,CON 401534 NAT URO PCH TR 11/2,29.46,29.46
1022292,7684551035,CON 401535 NAT URO PCH TR 13/4,29.46,29.46
1022300,7684551035,CON 401536 NAT URO PCH TR 21/4,29.46,29.46
1022318,7684551035,CON 401537 NAT URO PCH TR 23/4,29.46,29.46
1022342,7684551035,CON 401540 NAT URO PCH TR 13/4,29.46,29.46
1022359,7684551033,CON 401515 NAT DRN 14 TR 4,24.43,24.43
1022375,7684551037,CON 401557 NAT DRN OP 1 3/4,24.85,24.85
1022383,7684551037,CON 401558 NAT DRN OP 2 1/4,24.85,24.85
1022458,7684551041,CON 401928 LIL 1 DRN TR 1 3/4,16.2,16.2
1022623,37513759510,COMPOUND W PADS,6.77,6.77
1022631,839261130,CORTICOOL ANTI ITCH GEL 1.5OZ,4.75,4.75
1022649,3813700565,BANDAID WTRBLCK CL ASST,2.95,2.95
1022698,511316413,NEXCARE NON STICK PADS 3X4,3.54,3.54
1022888,7940073790,SUAVE 2N1 SHMP 12.6Z REG,2.31,2.31
1023191,9606870,SOLBAR AVO SNSCR SPF32 LOT 4OZ,9.05,9.05
1023407,30067399842,LAMISIL AT FT CRM .42OZ,7.61,7.61
1023480,3343620002,HEALTHY WMN SOY MENOPSE TAB,7.02,7.02
1023753,474001157,CUSTOM PLUS RZR PVT/SEN,8.26,8.26
1023795,700660276,CLUBMAN TALC WH 9OZ,3.38,3.38
1023803,700660403,CLUBMAN AFTRSHV 6OZ LOT,4.41,4.41
1023886,224006406,CONSORT H/S 8.3OZ XTR HLD,4.24,4.24
1024025,3600018342,HUGGIES LTL SWMMR MD,7.97,7.97
1024033,3600018345,HUGGIES LTL SWMMR LG,7.97,7.97
1024041,128430352,PHILLIPS STOOL SOFTNER,4.04,4.04
1024157,838000327,HOL 3275 KAR DRN PCH 21/2 2,107.87,107.87
1024223,4056511841,EXU-DRY 6X9            5999006,52.7,52.7
1024629,838000774,HOL 7740 STOMA LUBRICANT 4OZ,6.02,6.02
1024637,838000327,HOL 3279 KAR DRN PCH 13/4 13/8,107.87,107.87
1024934,4106055,ORAL B SATIN FLOSS 55YD,2.46,2.46
1025105,111132538,AIM TPST GEL 6OZ TARTAR CTRL,1.01,1.01
1025113,111132978,AIM TPST GEL 6OZ WHITN MNT,1.01,1.01
1025683,370003202,CREST TPST BK/PRXD 4.6OZ F/MNT,1.89,1.89
1025691,370003202,CREST TPST BK/PRXD 6.4OZ F/MNT,2.27,2.27
1025915,709420661,GUM PRXBRSH RFL CYL,2.31,2.31
1025956,4108257,ORAL B FLOSS WAX REG 55YD,1.53,1.53
1025964,4108257,ORAL B FLOSS WAX MNT 55YD,1.53,1.53
1025972,370007282,CREST TPST REG 8.2OZ CLN/MNT,2.56,2.56
1026699,721406341,EUCERIN FACE CRM 1.7OZ Q10,8.07,8.07
1026707,721406330,EUCERIN HYDRATING CLNS 8OZ,4.41,4.41
1027804,511312016,FUTURO HOSE B/KN WH XLARGE,15.01,15.01
1027838,39402500,GLUCOSAMINE SULFATE 500MG CAPL,9.55,9.55
1028364,3600003900,KOTEX MAXI PAD ULT THIN LONG,3.38,3.38
1028570,803760156,PRO FT TOE BNDG MD,2.92,2.92
1028638,803760108,PRO FT BOTTOM FT CUSHN,3.72,3.72
1028646,803760154,PRO ANTIFUNGAL LIQ,6.13,6.13
1028810,7684551071,CON 404007 NAT CNVX INSERT7/8,8.37,8.37
1028844,301037225,DORMIN SLEEP-AID CAPS,6.27,6.27
1028877,7684551071,CON 404009 NAT CNV INSERT11/8,8.37,8.37
1028893,7684551071,CON 404011 NAT CNV INSERT13/8,8.37,8.37
1028901,7684551071,CON 404012 NAT CNV INSRT1 1/2,8.37,8.37
1029453,61802979041,WASHCLOTH COMFORT BATH 8S 7911,2.69,2.69
1029750,453343100,VANICRM LITE LOT 8OZ SENS,5.84,5.84
1030329,838000848,HOL 8484 URO PCH CVX 1 9,35.24,35.24
1030360,3813711614,BANDAID TAPE H/F 1X2.3YDS,2.7,2.7
1030493,191001754,BIORE NOSE CLNSN STRP ULT,5.66,5.66
1030659,7704310360,ST IVES APRICOT SCRUB 6OZ INVG,3.33,3.33
1030667,770431047,ST IVES APRICOT SCRUB 10OZ JAR,4.42,4.42
1031194,838000360,HOL 3606 KAR DRN PCH 3 21/2,42.25,42.25
1031350,838000934,HOL 9345 TUBING NO/LTX NSTR,22.92,22.92
1031475,370003161,SCOPE 1LT ORG MNT,3.97,3.97
1032267,838001520,HOL 15202 NI FW BARR CTF 1 3/4,20.68,20.68
1032275,838001520,HOL 15204 NI FW BARR CTF 2 3/4,21.49,21.49
1032283,838001560,HOL 15604 NI FT BARR CTF 2 3/4,26.24,26.24
1032291,838001560,HOL 15602 NI FT BARR CTF 1 3/4,25.23,25.23
1032465,838001812,HOL 18122 NI DRN PCH 13/4 12BG,20.51,20.51
1032473,838001812,HOL 18124 NI DRN PCH 23/4 12BG,20.51,20.51
1032481,838001810,HOL 18102 NI DRN PCH 13/4 12,20.51,20.51
1032499,838001810,HOL 18104 NI DRN PCH 23/4 12,20.51,20.51
1032507,838001820,HOL 18202 NI MIN PCH 13/4 9,20.51,20.51
1032515,838001820,HOL 18204 NI MIN PCH 23/4 9,20.52,20.52
1032523,838001841,HOL 18412 NI URO PCH 13/4 9BG,27.88,27.88
1032549,838001840,HOL 18402 NI URO PCH 13/4 9,27.88,27.88
1032556,838001840,HOL 18404 NI URO PCH 23/4 9,27.88,27.88
1033182,36373612001,NIX LICE CONTRL SPR 5OZ,5.46,5.46
1033190,57328401,PREP H COOLING GEL .9OZ,6.03,6.03
1033208,30057328402,PREP H COOLING GEL 1.8OZ,10.57,10.57
1033364,34580203950,AD OINTMENT  4OZ PER,4.25,4.25
1033448,34580200600,BACITRACN OINT 30GM PER,2.72,2.72
1033497,34580200607,UD BACITRACIN OINT.9 PER 06070,21.84,21.84
1033687,4110081119,AFRIN NO DRIP MIST .5OZ ORG,6.13,6.13
1033877,75475691431,CANE T-HANDLE TEX BLK W1430BL,15.07,15.07
1033893,75475691433,CANE T-HANDLE TEX RED W1430R,15.07,15.07
1033901,75475691443,CANE T-HANDLE BLUEBRRY W1442B,15.07,15.07
1033927,75475691445,CANE T-HANDLE GRAY     W1442L,15.07,15.07
1034115,709420047,GUM TBRUSH MICROTIP FULL,1.86,1.86
1034164,705010175,NEUTROGENA ACNE B/W 8.5OZ,5.56,5.56
1034313,3057320162,CHAPSTICK CARD SPF25,1.53,1.53
1034719,3813700356,CLEAN  CLEAR CLNS SHEET ASB,4.44,4.44
1035526,2360109520,CRUTCH TIP 7/8  XLG  RM A95200,3.55,3.55
1035534,2360174420,MATTRESS COVER/ZIP   RM P565CO,6.43,6.43
1035567,2360186030,REACHER FOLDING 26.5IN  P60300,11.97,11.97
1035583,8687615424,WALKER AUTO GLIDE A83100,6.85,6.85
1035633,8687615421,WALKER WHL 5  FIXD   RM A83900,16.67,16.67
1035682,31108600210,TRIPLE PST MEDIC OINT 1LB,27.84,27.84
1035963,737964160,STETH SPRAGUE BLACK   416-22,9.9,9.9
1036037,4129813014,HEAT PACK INSTANT  DMI G13-01,65.36,65.36
1036185,3566419377,JOB119377 US THGH 15-20 BGE SM,33.64,33.64
1036193,3566419401,JOB119401 US KNEE 15-20 BGE SM,25.03,25.03
1036201,3566419378,JOB119378 US THGH 15-20 BGE MD,33.64,33.64
1036219,3566419379,JOB119379 US THGH 15-20 BGE LG,33.64,33.64
1036227,3566419380,JOB119380 US THGH 15-20 BGE XL,33.64,33.64
1036235,356641938,JOB119381 US THGH 15-20 BRZ SM,33.64,33.64
1036243,356641938,JOB119382 US THGH 15-20 TAN MD,33.64,33.64
1036250,356641938,JOB119383 US THGH 15-20 BRZ LG,33.64,33.64
1036276,3566419402,JOB119402 US KNEE 15-20 BGE MD,25.03,25.03
1036284,3566419403,JOB119403 US KNEE 15-20 BGE LG,25.03,25.03
1036292,3566419404,JOB119404 US KNEE 15-20 BGE XL,25.03,25.03
1036300,3566419405,JOB119405 US KNEE 15-20 BRZ SM,25.03,25.03
1036318,3566419406,JOB119406 US KNEE 15-20 BRZ MD,25.03,25.03
1036326,3566419407,JOB119407 US KNEE 15-20 BRZ LG,25.03,25.03
1036334,3566419408,JOB119408 US KNEE 15-20 BRZ XL,25.03,25.03
1036789,30087001904,ENFACARE LIP PWD 12.8OZ 001904,21.71,21.71
1036862,8687614895,SHWR B21586 HNDHLD DVRTR CAR,23.39,23.39
1036938,8687615488,WALKER W/WHL5 A85790,64.72,64.72
1036946,8687615426,WALKER GLIDE 1-1/8 RM A83600,5.32,5.32
1037092,453343000,VANICRM SKIN CRM 16OZ,10.48,10.48
1037233,30049605234,MASTISOL ADHESIVE LIQ 2/3ML,104.32,104.32
1037266,737964120,STETH DUAL HEAD BLUE  412BLU,4.97,4.97
1037399,76673884,TUMS EX A/B,2.63,2.63
1037407,76673889,TUMS EX A/B,4.15,4.15
1037498,3813700825,JJ COTTON SWABS SAFETY,1.66,1.66
1037506,3848580857,HYDROCIL INST 3.7GM,12.69,12.69
1037548,257154035,LABEL TAKE WITH FOOD APC 40350,3.39,3.39
1038447,257155309,FOLDER 11.5X6 DBL FOLD CRM APC,9.92,9.92
1038512,832729810,STAIN AWAY PARTIALS,4.3,4.3
1038736,31254662350,HALLS DEFENSE STICK STRWBRY,1.22,1.22
1038751,31254662652,HALLS DEFENSE BAG STRWBRY,1.65,1.65
1038769,31254662653,HALLS DEFENSE BAG HARVEST CHR,1.65,1.65
1038926,7124925308,PREFERENCE  5G MD GLD BR,8.43,8.43
1039437,117010313,COLO 1967 TRIAD WND DRS 6OZ.,19.05,19.05
1039445,7684551029,CON 400599 ALF DR 12CTF OP 3/4,40.67,40.67
1039569,866792501,ATTENDS IP0400 PAD INSERT,45.61,45.61
1039627,7124923004,FERIA HR COLOR 40 ESPRESSO,8.43,8.43
1039635,7124923003,FERIA HR COLOR 36 CHOC CHR,8.43,8.43
1039650,7124923001,FERIA HR COLOR 21 STRRY NIGHT,8.43,8.43
1039742,7124925351,PREFERENCE RR04 INT DK RD,8.43,8.43
1039767,224006431,TRESEMME MOUSSE 10.5OZ XTR HLD,4.56,4.56
1039916,8277550050,OGILVIE PERM PREC RIGHT COLOR,9.2,9.2
1040013,7124923704,LOREAL KIDS SHAM 9OZ WATERMELN,3.44,3.44
